saif,subkind,class_top,class_full,group_top,group_full,sum
בתי חולים ממשלתים,מפעלים עסקיים,קניות,רזרבה,שירותים חברתיים,בריאות,0.0
משרד החינוך,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,שירותים חברתיים,חינוך,3890883.0
תגמולים לנכים,תקציב רגיל,העברות,תמיכות לפי סעיף 3א,שירותים חברתיים,רווחה,570610.0
הוצאות פיתוח אחרות,תקציב פיתוח,הכנסות מיועדות,הכנסות תקציב פיתוח,הוצאות אחרות,הוצאות שונות,0.0
משרד ראש הממשלה,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,משרדי מטה,ראש הממשלה,152946.0
פיתוח התחבורה,תקציב פיתוח,העברות  פנים תקציביות,השתתפויות,תשתיות,תחבורה,5938490.0
הכנסת,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,משרדי מטה,משרדים נוספים,105923.0
ביטוח לאומי,תקציב רגיל,העברות,תשלומי העברה סוציאליים,שירותים חברתיים,העברות לביטוח הלאומי,35560106.0
רשויות פיקוח,תקציב רגיל,שכר,שכר בארץ,הוצאות אחרות,הוצאות שונות,99602.0
פיתוח התחבורה,תקציב פיתוח,השקעה,השקעה בארץ,תשתיות,תחבורה,1729603.0
המשרד להגנת הסביבה,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,ענפי משק,הגנת הסביבה,63850.0
תמיכות שונות,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,ענפי משק,חקלאות,0.0
משרד הבינוי והשיכון,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,תשתיות,בינוי ושיכון,0.0
המשרד להגנת הסביבה,תקציב רגיל,קניות,רזרבה,ענפי משק,הגנת הסביבה,10240.0
מפעלי מים,תקציב פיתוח,השקעה,רזרבה,תשתיות,משק המים,23865.0
הוצאות מינהל מקרקעי,מפעלים עסקיים,הכנסות מיועדות,הכנסות תקציב פיתוח,תשתיות,רשות מקרקעי ישראל,8404900.0
הכנסת,תקציב רגיל,קניות,רזרבה,משרדי מטה,משרדים נוספים,20000.0
תגמולים לנכים,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,שירותים חברתיים,רווחה,0.0
משרד הרווחה והשירותים,תקציב רגיל,קניות,"קניות בחו""ל",שירותים חברתיים,רווחה,14196.0
